Company	Net Sales ($MM)	Employees (000)	Sales per Employee	Liabilities ($MM)	Assets ($MM)	Receivables ($MM)	Inventories ($MM)	Cash ($MM)	Cash+Short Term Invest	Gross Property	Net Property	Long-term Debt	Operating Income	Depreciation	Interest Exp	Income Taxes	Net Income
SRA INTERNATIONAL INC	450.375	2.6	173.2211538	81.696	364.711	119.224	0	158.264	158.697	68.916	20.641	0	50.95	8.962	0.111	19.431	29.66
SUPERCLICK INC	0.003	-99	-99	0.285	1.607	0.16	0.023	0.019	0.019	0.078	0.041	0	-0.088	0.002	0	0	-0.09
SUPERIOR CONSULTANT HLDGS CP	99.54	0.609	163.4482759	30.937	53.853	12.74	0	11.756	12.688	45.5	24.235	11.859	3.993	5.08	1.042	0	-1.755
SYKES ENTERPRISES INC	480.359	17.8	26.98646067	112.422	313.254	77.494	0	92.085	92.085	254.9	107.194	0	39.252	30.125	-99	4.651	9.305
SYNTEL INC	179.507	3.861	46.49235949	32.675	186.081	32.429	0	110.699	136.836	25.617	7.115	0	52.052	2.522	0	13.242	40.304
TECHTEAM GLOBAL INC	88.089	1.593	55.29755179	11.93	77.7	23.147	0	35.195	35.195	40.102	10.042	0.408	3.212	5.891	0.038	0.41	-1.046
TERREMARK WORLDWIDE INC	18.214	0.145	125.6137931	100.153	77.433	6.646	0	4.379	4.379	66.548	53.898	68.9	-15.879	4.698	14.625	0	-22.491
THESTREET.COM	26.099	0.162	161.1049383	11.21	37.197	2.055	0	22.247	26.558	14.297	2.553	0.221	-2.001	2.408	-99	0	-4.039
TIER TECHNOLOGIES INC  -CL B	139.933	0.475	294.5957895	26.824	164.974	26.669	0	28.205	33.697	21.567	5.725	0.194	15.25	7.723	0.055	-3.302	-23.782
TRAVELZOO INC	17.991	0.039	461.3076923	2.885	6.726	2.37	0	3.522	3.522	0.51	0.163	0	4.23	0.163	0	1.702	2.05
TUCOWS INC	37.195	0.14	265.6785714	34.47	35.336	0.486	0	12.913	13.046	9.962	1.048	0	2.421	1.49	-99	0	2.063
UNITED ONLINE INC	277.295	0.461	601.5075922	63.764	280.676	12.42	0	85.838	192.339	60.481	11.535	0	48.663	27.56	-99	-1.781	27.792
USURF AMERICA INC	0.404	0.007	57.71428571	1.295	2.836	0.069	0.072	0.073	0.353	0.682	0.583	0	-3.453	0.13	0.056	0	-3.654
VALUECLICK INC	92.516	0.576	160.6180556	48.892	323.099	22.382	0	36.642	220.12	26.038	10.559	0.187	14.736	7.531	-99	0.83	9.823
VIA NET.WORKS INC	68.668	0.454	151.2511013	42.524	110.688	14.295	0	65.803	67.194	43.883	12.003	0.328	-21.05	8.107	0.015	0.165	-24.58
VISUAL DATA CORP	6.815	0.046	148.1521739	5.868	9.238	1.168	0.169	0.082	1.085	8.738	0.943	2.859	-1.807	1.965	0.912	0	-4.192
VITALSTREAM HOLDINGS INC	7.001	0.043	162.8139535	3.182	4.655	0.549	0	0.773	0.773	2.84	1.401	1.51	-0.31	0.688	0.15	0.002	-1.055
WEBB INTERACTIVE SVCS INC	0.647	0.002	323.5	0.095	2.694	0.271	0	0.559	0.559	1.051	0.259	0	-1.703	0.206	0	0	-2.187
WEBEX COMMUNICATIONS INC	189.341	1.241	152.5713135	35.602	201.496	21.414	0	70.996	134.635	55.342	19.275	0	55.048	11.947	0.012	-15.627	59.802
WEBMD CORP	963.98	5.635	171.0700976	956.709	2135.306	181.173	12.158	63.298	270.681	148.804	77.278	649.999	73.574	62.434	15.214	4.14	-17.006
WESTERN MEDIA GROUP CORP	0.014	0.005	2.8	0.287	0.119	0.002	0	0.054	0.054	0.043	0.037	0	-0.568	0.407	0	0	-4.471
WIDEPOINT CORP	3.294	0.035	94.11428571	0.292	1.466	0.406	0	0.949	0.949	0.026	0.007	0	-0.291	0.013	0.001	0	-0.291
XIN NET CORP	0.475	0.005	95	5.909	6.321	0.095	0	3.304	3.304	0.051	0.013	0	-0.185	0.008	0	0	-0.314
YAHOO INC	1625.097	5.5	295.4721818	1568.164	5931.654	282.415	0	713.539	1309.517	762.316	449.512	750	607.937	159.688	0	147.024	237.879
YZAPP INTERNATIONAL INC-REDH	0.035	0.002	17.5	0.341	0.06	0.033	0	0.003	0.003	0.034	0.02	0.003	-0.215	0.008	0.022	0	-0.244
ZAMBA CORP	10.017	0.056	178.875	2.453	1.887	0.618	0.079	0.699	0.699	1.181	0.326	0	-0.628	0.298	0.132	0	1.743
ZANETT INC	17.049	0.108	157.8611111	11.471	23.853	3.789	0	2.121	2.121	0.514	0.311	6.075	0.793	0.203	0.816	0.042	1.211
ZOOLINK CORP	0.576	0.011	52.36363636	0.29	0.632	0.068	0	0.058	0.058	0.893	0.38	0.015	-1.188	0.156	0.024	0	-1.367
