Date	Percentage Change Apple	Percentage Change McDonalds	Percentage Change Disney	Percentage Change Microsoft	Percentage Change IBM	Percentage Change Exxon	Apple & McDonalds
20101116	-1.7734	-2.0868	-0.8859	-0.8779	-0.9747	-2.185	-2.00845
20101117	-0.3614	1.2271	0.8126	-0.9299	-0.2039	0.1015	0.829975
20101118	2.6389	0.8294	0.9672	1.0461	1.6978	1.8838	1.281775
20101119	-0.5512	0.7846	-1.5168	-0.5709	0.478	0.3271	0.45065
20101122	2.1615	-0.1507	-0.1621	0.1557	0.2344	-0.4962	0.42735
20101123	-1.4775	-0.6413	-2.2463	-2.3708	-1.5201	-1.7239	-0.85035
20101124	1.9645	0.5949	2.0764	0.9952	1.8369	1.3047	0.9373
20101126	0.3065	-0.843	-0.4611	-0.1183	-1.1659	-0.8729	-0.555625
20101129	0.3515	0.0761	-0.7629	-0.1184	-0.8466	0.2599	0.14495
20101130	-1.8052	0.0511	0.2471	-0.2074	-1.0008	0.1584	-0.412975
20101201	1.6873	1.2644	1.6708	3.0981	2.0854	2.5446	1.370125
20101202	0.5531	0.1135	0.5927	3.2642	0.5332	0.2103	0.2234
20101203	-0.2232	0.4787	0.6695	0.4835	0.1378	-0.4057	0.303225
20101206	0.8537	-0.2257	-0.0798	-0.6662	-0.2683	0.1686	0.04415
20101207	-0.606	0.955	-0.6124	0.1118	-0.669	0.2104	0.56475
20101208	0.8799	-1.9915	-0.9644	1.3398	0.6666	0.5458	-1.27365
20101209	-0.3902	-1.4351	0.4598	-0.5509	-0.469	0.2088	-1.173875
20101210	0.251	-0.0644	-0.2178	0.9601	0.3604	0.25	0.01445
20101213	0.3463	-0.5802	1.2821	-0.3475	-0.3729	0.2494	-0.348575
20101214	-0.429	0	0.2963	1.3764	1.0674	-0.2488	-0.10725
20101215	0.0218	-0.1686	-0.7787	0.8327	-0.7544	-0.4572	-0.121
20101216	0.2778	-0.3507	0.1624	0.4937	-0.1175	0.515	-0.193575
